name,classification,type,tags,description
AscOne,arrow,line,[],
AscTwo,arrow,line,[],
CarestShort,arrow,line,[],
ChevronDown,arrow,line,[],
ChevronLeft,arrow,line,[],
ChevronRight,arrow,line,[],
ChevronsDown,arrow,line,[],
ChevronsLeft,arrow,line,[],
ChevronsRight,arrow,line,[],
ChevronsUp,arrow,line,[],
ChevronUp,arrow,line,[],
CircleDown,arrow,line,[],
CircleLeft,arrow,line,[],
CircleRight,arrow,line,[],
CircleUp,arrow,line,[],
CornerDownLeft,arrow,line,[],
CornerDownRight,arrow,line,[],
CornerLeftDown,arrow,line,[],
CornerLeftUp,arrow,line,[],
CornerRightDown,arrow,line,[],
CornerRightUp,arrow,line,[],
CornerUpLeft,arrow,line,[],
CornerUpRight,arrow,line,[],
DescOne,arrow,line,[],
DescTwo,arrow,line,[],
Down,arrow,line,[],
DownLeft,arrow,line,[],
DownloadFive,arrow,line,[],
DownloadFour,arrow,line,[],
DownloadOne,arrow,line,[],
DownloadThree,arrow,line,[],
DownloadTwo,arrow,line,[],
DownRight,arrow,line,[],
Left,arrow,line,[],
LogInOne,arrow,line,[],
LogInTwo,arrow,line,[],
LogOutOne,arrow,line,[],
LogOutTwo,arrow,line,[],
MaxmizeOne,arrow,line,[],
MaxmizeTwo,arrow,line,[],
MinimizeOne,arrow,line,[],
MinimizeTwo,arrow,line,[],
Move,arrow,line,[],
RefreshFive,arrow,line,[],
RefreshFour,arrow,line,[],
RefreshOne,arrow,line,[],
RefreshSix,arrow,line,[],
RefreshThree,arrow,line,[],
RefreshTwo,arrow,line,[],
Right,arrow,line,[],
ShuffleOne,arrow,line,[],
SortOne,arrow,line,[],
SortTwo,arrow,line,[],
SwapHorizontal,arrow,line,[],
SwapVertical,arrow,line,[],
ThickDown,arrow,line,[],
ThickLeft,arrow,line,[],
ThickRight,arrow,line,[],
ThickUp,arrow,line,[],
TrendingDown,arrow,line,[],
TrendingUp,arrow,line,[],
Up,arrow,line,[],
UpLeft,arrow,line,[],
UpRight,arrow,line,[],
Add,basic,line,[],
CloseLock,basic,line,[],
Delete,basic,line,[],
Edit,basic,line,[],
Female,basic,line,[],
FingerPrint,basic,line,[],
List,basic,line,[],
LoadingOne,basic,line,[],
LoadingThree,basic,line,[],
LoadingTwo,basic,line,[],
Local,basic,line,[],
Male,basic,line,[],
Menu,basic,line,[],
MoreOne,basic,line,[],
MoreTwo,basic,line,[],
OpenLock,basic,line,[],
Search,basic,line,[],
SettingFive,basic,line,[],
SettingFour,basic,line,[],
SettingOne,basic,line,[],
SettingSix,basic,line,[],
SettingThree,basic,line,[],
SettingTwo,basic,line,[],
ShareFive,basic,line,[],
ShareFour,basic,line,[],
ShareOne,basic,line,[],
ShareThree,basic,line,[],
ShareTwo,basic,line,[],
Tag,basic,line,[],
View,basic,line,[],
ZoomIn,basic,line,[],
ZoomOut,basic,line,[],
Chrome,brand-logo,fill,[],
DingTalk,brand-logo,fill,[],
Discord,brand-logo,fill,[],
Facebook,brand-logo,fill,[],
GitHub,brand-logo,fill,[],
QQ,brand-logo,fill,[],
Slack,brand-logo,fill,[],
Spotify,brand-logo,fill,[],
Steam,brand-logo,fill,[],
Taobao,brand-logo,fill,[],
TED,brand-logo,fill,[],
Telegram,brand-logo,fill,[],
TikTok,brand-logo,fill,[],
Twitter,brand-logo,fill,[],
WeChat,brand-logo,fill,[],
WeCom,brand-logo,fill,[],
YouTube,brand-logo,fill,[],
BachelorCap,clothing,line,[],
Backpack,clothing,line,[],
BarOne,clothing,line,[],
BarThree,clothing,line,[],
BarTwo,clothing,line,[],
BaseballCap,clothing,line,[],
Belt,clothing,line,[],
Boots,clothing,line,[],
Bow,clothing,line,[],
BriefcaseOne,clothing,line,[],
BriefcaseTwo,clothing,line,[],
BucketHat,clothing,line,[],
Cardigan,clothing,line,[],
ChefHat,clothing,line,[],
CottonShoes,clothing,line,[],
CrownHat,clothing,line,[],
Dress,clothing,line,[],
FeltHat,clothing,line,[],
FlatShoes,clothing,line,[],
Gloves,clothing,line,[],
Handbag,clothing,line,[],
Hanfu,clothing,line,[],
HighHeel,clothing,line,[],
Hoodie,clothing,line,[],
LongTShirt,clothing,line,[],
MagicHat,clothing,line,[],
MiniSkirt,clothing,line,[],
Necktie,clothing,line,[],
Overcoat,clothing,line,[],
PantiesOne,clothing,line,[],
PantiesThree,clothing,line,[],
PantiesTwo,clothing,line,[],
Shorts,clothing,line,[],
ShoulderBag,clothing,line,[],
Skirt,clothing,line,[],
SlippersOne,clothing,line,[],
SlippersTwo,clothing,line,[],
Socks,clothing,line,[],
StrawHat,clothing,line,[],
Suit,clothing,line,[],
Sweatpants,clothing,line,[],
Swimsuit,clothing,line,[],
TShirt,clothing,line,[],
Trousers,clothing,line,[],
Trunk,clothing,line,[],
VestOne,clothing,line,[],
VestTwo,clothing,line,[],
Windbreaker,clothing,line,[],
WizardHat,clothing,line,[],
BlockMessageFour,communication,line,[],
BlockMessageOne,communication,line,[],
BlockMessageThree,communication,line,[],
BlockMessageTwo,communication,line,[],
CallPhone,communication,line,[],
DeleteMessageFour,communication,line,[],
DeleteMessageOne,communication,line,[],
DeleteMessageThree,communication,line,[],
DeleteMessageTwo,communication,line,[],
DownloadMessageFour,communication,line,[],
DownloadMessageOne,communication,line,[],
DownloadMessageThree,communication,line,[],
DownloadMessageTwo,communication,line,[],
ErrorMessageFour,communication,line,[],
ErrorMessageOne,communication,line,[],
ErrorMessageThree,communication,line,[],
ErrorMessageTwo,communication,line,[],
ForwardMessageFour,communication,line,[],
ForwardMessageOne,communication,line,[],
ForwardMessageThree,communication,line,[],
